"37","bmg2024jsfa","2024-05-18T00:48:54.821238Z","-6.353574276","120.2925034","3.371776489","M","10","65","88.15559769","Flores Sea","BMKG"
"38","bmg2024jrym","2024-05-17T21:30:10.558734Z","-8.505176544","117.7260208","3.529815818","M","142","89","104.5314026","Sumbawa Region","BMKG"
"39","bmg2024jrxx","2024-05-17T21:12:49.989258Z","-10.9825201","117.5730362","3.695553338","M","29","57","241.925148","South of Sumbawa","BMKG"
"40","bmg2024jrvi","2024-05-17T19:54:53.612961Z","-6.807158947","107.9337463","3.464397085","MLv","10","77","70.39910889","Java","BMKG"
"41","bmg2024jrml","2024-05-17T15:25:05.064262Z","-0.487554014","130.65802","4.115906432","M","10","50","79.91447449","West Papua Region","BMKG"
"42","bmg2024jrlx","2024-05-17T15:08:46.510173Z","-0.309272945","123.005127","4.282662526","M","57","102","33.36271811","Minahassa Peninsula, Sulawesi","BMKG"
"43","bmg2024jrka","2024-05-17T14:12:16.347097Z","4.301033974","126.1676025","4.136069209","M","67","36","192.684021","Talaud Islands","BMKG"
"44","bmg2024jrgp","2024-05-17T12:28:01.501765Z","-7.942872047","120.5572433","3.969740223","M","10","55","82.65692139","Flores Sea","BMKG"
"45","bmg2024jqxo","2024-05-17T07:54:15.350607Z","-2.357334852","121.042366","2.458789448","MLv","10","5","162.24897","Sulawesi","BMKG"
"46","bmg2024jqux","2024-05-17T06:33:27.420019Z","3.669926405","96.84809113","2.644426373","MLv","120","7","126.0691376","Northern Sumatra","BMKG"
"47","bmg2024jqse","2024-05-17T05:11:12.472401Z","1.504878879","126.2851563","3.032763832","MLv","34","11","107.491168","Northern Molucca Sea","BMKG"
"48","bmg2024jqsa","2024-05-17T05:06:06.472217Z","5.302715302","126.1798172","2.901902973","M","124","7","187.1463776","Mindanao, Philippines","BMKG"
"49","bmg2024jqri","2024-05-17T04:45:36.879747Z","-8.660600662","116.0833511","2.66940994","MLv","93","28","130.531723","Sumbawa Region","BMKG"
"50","bmg2024jqpz","2024-05-17T04:04:14.24189Z","-2.587850809","139.4558411","2.862020028","MLv","58","9","130.0507813","Near North Coast of West Papua","BMKG"
"51","bmg2024jqnd","2024-05-17T02:37:56.241824Z","0.922379255","120.4216537","3.558265652","MLv","10","10","236.5114365","Minahassa Peninsula, Sulawesi","BMKG"
"52","bmg2024jqlx","2024-05-17T02:00:25.070498Z","-0.990567923","120.1840439","3.303111601","MLv","10","30","46.34509277","Minahassa Peninsula, Sulawesi","BMKG"
"53","bmg2024jqkr","2024-05-17T01:23:34.630762Z","3.313563108","126.1426086","3.865977489","MLv","59","23","142.5497437","Talaud Islands","BMKG"
"54","bmg2024jqip","2024-05-17T00:20:58.119675Z","-3.467819214","101.8561401","4.123237329","MLv","93","25","123.2723541","Southern Sumatra","BMKG"
"55","bmg2024jqfh","2024-05-16T22:39:58.147314Z","-9.292861938","118.5815964","3.80353368","M","65","33","157.0895081","Sumbawa Region","BMKG"
"56","bmg2024jqcx","2024-05-16T21:27:58.091325Z","-3.279312372","131.0747681","3.361293907","M","20","18","141.8332748","West Papua Region","BMKG"
"57","bmg2024jqcp","2024-05-16T21:18:23.023795Z","-6.246309757","130.0768127","3.778505543","M","90","21","212.4055481","Banda Sea","BMKG"
"58","bmg2024jqci","2024-05-16T21:10:15.123369Z","1.677983284","127.7268829","2.619740441","M","10","10","181.2833748","Halmahera","BMKG"
"59","bmg2024jqab","2024-05-16T20:01:35.283501Z","-3.887405872","127.5472488","4.273260563","M","180","31","193.8547592","Seram","BMKG"
"60","bmg2024jpzw","2024-05-16T19:56:00.525526Z","-3.122400522","101.170845","3.291295357","M","19","31","162.2701492","Southern Sumatra","BMKG"
"61","bmg2024jpwu","2024-05-16T18:22:53.396249Z","-8.101652145","124.9849701","4.049266509","M","10","23","225.7995148","Timor Region","BMKG"
"62","bmg2024jpvn","2024-05-16T17:44:31.673282Z","-4.537117481","102.1633759","3.808247905","M","23","46","162.5730743","Southern Sumatra","BMKG"
"63","bmg2024jpqp","2024-05-16T15:14:43.597024Z","-2.510792255","121.2265015","2.793261321","M","10","37","39.56785583","Sulawesi","BMKG"
"64","bmg2024jplx","2024-05-16T12:52:40.904347Z","-4.203995705","122.3734207","2.217207498","M","21","9","191.2989349","Sulawesi","BMKG"
"65","bmg2024jphl","2024-05-16T10:36:50.287194Z","-7.793140411","118.9226303","2.906661627","M","31","22","173.8674698","Flores Sea","BMKG"
"66","bmg2024jpfh","2024-05-16T09:31:38.440747Z","-4.720658779","139.5939484","4.274831802","M","10","28","94.25852585","West Papua","BMKG"
"67","bmg2024jozw","2024-05-16T06:47:14.025183Z","-2.836414576","130.4051971","3.328490315","MLv","12","16","80.50588989","Seram","BMKG"
"68","bmg2024jozh","2024-05-16T06:29:39.334525Z","-2.827435732","122.1702728","3.293559527","MLv","2","32","123.4204941","Sulawesi","BMKG"
"69","bmg2024joyp","2024-05-16T06:08:51.598665Z","-9.779767036","119.5133286","2.871900866","MLv","23","22","193.8665161","Sumba Region","BMKG"
"70","bmg2024jova","2024-05-16T04:20:42.304219Z","-0.609091341","123.3274765","3.780151696","MLv","10","34","131.0490417","Minahassa Peninsula, Sulawesi","BMKG"
"71","bmg2024joro","2024-05-16T02:36:07.793851Z","-3.391222477","135.3777008","4.72150531","MLv","35","37","48.80117989","West Papua Region","BMKG"
"72","bmg2024jopf","2024-05-16T01:24:45.188268Z","5.300746441","95.70915985","3.710803986","MLv","10","22","102.6088562","Northern Sumatra","BMKG"
"73","bmg2024joof","2024-05-16T00:54:08.89146Z","-4.1983881","137.0570068","3.747988146","MLv","11","11","101.2915649","West Papua","BMKG"
"74","bmg2024jojc","2024-05-15T22:19:36.459602Z","-0.253636956","123.3393555","3.888868607","M","116","57","56.70601273","Minahassa Peninsula, Sulawesi","BMKG"
"75","bmg2024jogb","2024-05-15T20:47:11.664109Z","-8.549263","118.4073181","2.222653942","MLv","110","20","148.0122604","Sumbawa Region","BMKG"
"76","bmg2024jofs","2024-05-15T20:37:12.576221Z","-7.310814857","106.3676453","2.460399175","M","31","25","203.870018","Java","BMKG"
"77","bmg2024joew","2024-05-15T20:10:36.242888Z","-3.724231243","134.8340302","3.113857693","MLv","18","8","201.0590668","West Papua Region","BMKG"
"78","bmg2024jobv","2024-05-15T18:39:29.670312Z","-5.30039072","120.6064606","2.078472515","M","10","15","119.6155167","Sulawesi","BMKG"
"79","bmg2024jobm","2024-05-15T18:28:56.824489Z","-5.907373428","103.8034439","2.809217431","MLv","24","11","254.8169403","Southern Sumatra","BMKG"
"80","bmg2024jnzx","2024-05-15T17:40:28.482435Z","-2.95570159","119.4098892","2.695627282","MLv","10","26","67.06771708","Sulawesi","BMKG"
"81","bmg2024jnsn","2024-05-15T13:56:57.048737Z","1.177714944","122.51828","3.098336196","MLv","20","17","204.4416046","Minahassa Peninsula, Sulawesi","BMKG"
"82","bmg2024jnqw","2024-05-15T13:06:22.114588Z","-6.830819607","107.1013336","2.790627925","MLv","10","29","68.77110863","Java","BMKG"
"83","bmg2024jnpt","2024-05-15T12:32:46.475333Z","-2.77643013","139.3794403","4.117606221","MLv","32","24","82.13417053","Near North Coast of West Papua","BMKG"
"84","bmg2024jnpr","2024-05-15T12:30:43.635299Z","1.595986366","126.4556732","4.052047472","MLv","10","31","89.1279068","Northern Molucca Sea","BMKG"
"85","bmg2024jnnq","2024-05-15T11:28:58.620484Z","-2.467609882","121.246376","2.987450085","MLv","10","20","123.29669","Sulawesi","BMKG"
"86","bmg2024jnkd","2024-05-15T09:42:55.481899Z","-5.790206432","106.6741791","5.067690514","Mwp","263","227","35.13637924","Java","BMKG"
"87","bmg2024jnjd","2024-05-15T09:11:53.124624Z","-2.945346117","119.3588409","3.172979486","MLv","10","33","77.54719162","Sulawesi","BMKG"
"88","bmg2024jngb","2024-05-15T07:38:45.03933Z","-2.958691359","119.3869553","2.749250144","M","10","35","66.45023537","Sulawesi","BMKG"
"89","bmg2024jnfv","2024-05-15T07:32:18.995958Z","-2.910317659","119.4179153","2.91461595","MLv","10","21","98.0574894","Sulawesi","BMKG"
"90","bmg2024jmuk","2024-05-15T01:45:23.360502Z","0.761172771","120.4762802","2.958985816","MLv","2","18","167.3451462","Minahassa Peninsula, Sulawesi","BMKG"
"91","bmg2024jmsu","2024-05-15T00:56:58.556581Z","-8.662453651","123.4508438","3.342440071","MLv","79","34","65.95832825","Flores Region","BMKG"
"92","bmg2024jmqb","2024-05-14T23:33:34.744756Z","-3.333888769","135.4386444","3.803644889","MLv","30","24","89.35031891","West Papua Region","BMKG"
"93","bmg2024jmpr","2024-05-14T23:22:15.868596Z","1.734442115","99.15102386","3.106610535","MLv","10","40","69.21142578","Northern Sumatra","BMKG"
"94","bmg2024jmls","2024-05-14T21:22:45.744997Z","-2.312153578","133.636673","3.252128591","MLv","10","18","97.40884399","West Papua Region","BMKG"
"95","bmg2024jmja","2024-05-14T20:00:12.252194Z","-2.309549332","140.2502136","3.019348728","MLv","10","11","195.2840118","Near North Coast of West Papua","BMKG"
"96","bmg2024jmiq","2024-05-14T19:48:50.408694Z","-0.375252694","124.1345901","2.795245899","MLv","45","20","101.4002991","Southern Molucca Sea","BMKG"
"97","bmg2024jmfu","2024-05-14T18:22:09.483017Z","-0.25164184","124.4649582","3.854822213","MLv","25","45","39.8577137","Southern Molucca Sea","BMKG"
"98","bmg2024jmah","2024-05-14T15:36:23.2118Z","-2.661212444","101.789711","3.928939238","MLv","10","27","84.85469055","Southern Sumatra","BMKG"
"99","bmg2024jlwn","2024-05-14T13:41:31.706988Z","-2.564874172","121.891243","4.116553565","M","10","45","94.16415787","Sulawesi","BMKG"
"100","bmg2024jlwl","2024-05-14T13:39:53.291599Z","5.977226734","126.4275131","4.401051265","mb","90","22","182.2597809","Mindanao, Philippines","BMKG"
"101","bmg2024jltq","2024-05-14T12:13:46.11947Z","5.540547371","95.46646118","3.335567709","MLv","10","15","125.3014755","Northern Sumatra","BMKG"
"102","bmg2024jlqn","2024-05-14T10:39:45.116686Z","0.529182434","122.5795593","2.39672216","M","55","13","126.081749","Minahassa Peninsula, Sulawesi","BMKG"
"103","bmg2024jllp","2024-05-14T08:11:10.96277Z","-8.446220398","116.0353851","4.980191201","Mw(mB)","12","249","44.99838257","Sumbawa Region","BMKG"
"104","bmg2024jlds","2024-05-14T04:12:09.38989Z","-9.077474594","118.8960571","3.42332935","M","56","40","104.2421265","Sumbawa Region","BMKG"
"105","bmg2024jkzo","2024-05-14T02:05:58.20514Z","-6.416533947","129.753006","4.587062278","MLv","159","18","151.7239304","Banda Sea","BMKG"
"106","bmg2024jkzc","2024-05-14T01:51:29.894142Z","-0.331671834","121.9714737","4.095269841","M","5","63","41.99930573","Minahassa Peninsula, Sulawesi","BMKG"
"107","bmg2024jkqx","2024-05-13T21:43:33.000687Z","-8.958607674","124.085228","3.615154518","M","54","58","40.69842529","Timor Region","BMKG"
"108","bmg2024jkbx","2024-05-13T14:08:35.584203Z","-7.76169014","123.655426","4.659334784","Mw(mB)","280","196","25.47644043","Banda Sea","BMKG"
"109","bmg2024jjvt","2024-05-13T11:01:38.265288Z","-1.442441344","99.77872467","2.933194187","M","17","23","115.3648682","Southern Sumatra","BMKG"
"110","bmg2024jjvg","2024-05-13T10:46:37.191281Z","-9.301067352","118.6944351","3.564591364","M","63","63","142.9332886","Sumbawa Region","BMKG"
"111","bmg2024jjuo","2024-05-13T10:26:30.701152Z","-3.122914314","130.9692993","3.229987541","M","10","19","91.87721252","Seram","BMKG"
"112","bmg2024jjne","2024-05-13T06:42:30.111126Z","-5.701942444","112.5250473","4.60681019","M","10","82","60.62560272","Java Sea","BMKG"
"113","bmg2024jjlm","2024-05-13T05:50:47.182165Z","2.058880091","97.82157898","3.336081525","M","32","27","75.96855927","Northern Sumatra","BMKG"
"114","bmg2024jjlb","2024-05-13T05:37:56.08607Z","1.886033058","98.9691925","3.568430214","M","107","38","58.14955902","Northern Sumatra","BMKG"
"115","bmg2024jjhu","2024-05-13T03:58:40.359593Z","-3.06313324","130.7493744","3.669217556","M","10","24","108.6776657","Seram","BMKG"
"116","bmg2024jjav","2024-05-13T00:28:14.169719Z","1.000677943","123.873848","5.083063361","Mw(mB)","274","228","43.19613647","Minahassa Peninsula, Sulawesi","BMKG"
"117","bmg2024jioa","2024-05-12T17:59:17.893053Z","-9.915547371","119.2659531","2.458612","M","15","20","214.4456558","Sumba Region","BMKG"
"118","bmg2024jinv","2024-05-12T17:54:05.243894Z","-2.267263174","120.9403229","2.467022078","M","10","30","70.85925293","Sulawesi","BMKG"
"119","bmg2024jihf","2024-05-12T14:33:02.117083Z","-5.455457211","112.6000595","4.469760832","M","10","50","89.4071846","Java Sea","BMKG"
"120","bmg2024jign","2024-05-12T14:12:00.929074Z","-6.746182919","106.5748749","3.286049774","M","10","33","68.39273071","Java","BMKG"
"121","bmg2024jigd","2024-05-12T14:00:34.252897Z","-5.981678963","112.6692657","3.177633818","M","425","14","135.4558258","Java Sea","BMKG"
"122","bmg2024jiee","2024-05-12T13:00:37.438757Z","-3.207936049","131.0704346","3.499693228","M","23","18","121.8588943","West Papua Region","BMKG"
"123","bmg2024jhxu","2024-05-12T09:47:09.024825Z","-0.726564348","99.74430084","3.112892179","M","40","26","51.93927002","Southern Sumatra","BMKG"
"124","bmg2024jhxh","2024-05-12T09:33:00.767087Z","-2.861747026","127.6257858","3.403724028","M","15","15","147.1045532","Ceram Sea","BMKG"
"125","bmg2024jhvv","2024-05-12T08:48:01.992897Z","4.679436207","96.29525757","2.844866437","M","8","19","91.09044266","Northern Sumatra","BMKG"
"126","bmg2024jhkh","2024-05-12T02:58:08.635429Z","-0.694993377","131.6110992","3.157396813","M","8","11","149.7488937","West Papua Region","BMKG"
"127","bmg2024jhgq","2024-05-12T01:07:38.058069Z","-8.43320179","123.1387634","3.223721034","M","118","30","111.9121628","Flores Region","BMKG"
"128","bmg2024jhdx","2024-05-11T23:44:50.332083Z","-9.136725426","114.3759232","3.385094451","M","10","60","216.1852417","South of Bali","BMKG"
"129","bmg2024jgyg","2024-05-11T20:52:57.994331Z","-7.673195839","127.8349686","4.335756397","MLv","151","44","87.98319721","Banda Sea","BMKG"
"130","bmg2024jgvo","2024-05-11T19:31:42.182606Z","-8.089212418","107.2754059","3.421590864","M","19","54","221.1092682","Java","BMKG"
"131","bmg2024jgpk","2024-05-11T16:25:30.549508Z","1.946935534","121.4801941","3.799969105","M","10","40","202.752739","Minahassa Peninsula, Sulawesi","BMKG"
"132","bmg2024jgoy","2024-05-11T16:10:47.14854Z","-8.449848175","116.9644852","3.245248559","M","10","51","124.4303131","Sumbawa Region","BMKG"
"133","bmg2024jgml","2024-05-11T14:55:52.090226Z","1.950226307","126.9661713","3.659487042","M","21","33","87.55302429","Northern Molucca Sea","BMKG"
"134","bmg2024jggd","2024-05-11T11:43:49.051133Z","-5.740370274","112.3651276","3.649698445","M","10","19","226.3430099","Java Sea","BMKG"
"135","bmg2024jgfn","2024-05-11T11:25:44.68582Z","-0.973403871","121.7103119","2.97279509","M","10","27","59.26454163","Minahassa Peninsula, Sulawesi","BMKG"
"136","bmg2024jgap","2024-05-11T08:56:28.742946Z","-2.387960911","128.4212036","4.032420268","M","15","28","80.75350952","Ceram Sea","BMKG"
"137","bmg2024jfzg","2024-05-11T08:15:12.223791Z","-9.904102325","124.2419968","1.979072305","MLv","10","8","181.5316925","Timor Region","BMKG"
"138","bmg2024jfuu","2024-05-11T05:59:48.20791Z","-1.053512573","99.67217255","3.253983211","M","56","29","47.69281006","Southern Sumatra","BMKG"
"139","bmg2024jftq","2024-05-11T05:25:35.934294Z","-3.134787321","130.9317017","4.025032874","M","14","33","115.8150101","Seram","BMKG"
"140","bmg2024jfox","2024-05-11T03:02:17.852981Z","1.093334556","126.7317886","4.998951715","Mw(mB)","48","116","65.49436188","Northern Molucca Sea","BMKG"
"141","bmg2024jfov","2024-05-11T02:59:23.718311Z","-8.295389175","119.9204025","3.244909872","M","177","38","187.6025848","Flores Region","BMKG"
"142","bmg2024jfnx","2024-05-11T02:31:37.990078Z","-8.103661537","118.578949","3.470000061","M","11","31","127.4795933","Sumbawa Region","BMKG"
"143","bmg2024jfjd","2024-05-11T00:06:29.440442Z","0.732997417","129.848526","3.461787486","M","10","19","196.0276947","Halmahera","BMKG"
"144","bmg2024jfgf","2024-05-10T22:37:59.519289Z","-9.085635185","113.0335999","4.022868889","MLv","30","92","198.5707245","South of Java","BMKG"
"145","bmg2024jfdd","2024-05-10T21:05:44.274958Z","0.853470683","129.2026978","3.771749906","M","10","26","183.0881348","Halmahera","BMKG"
"146","bmg2024jfad","2024-05-10T19:34:38.941926Z","-9.192816734","113.0136719","4.755747249","Mw(mB)","59","224","121.8729858","South of Java","BMKG"
"147","bmg2024jeru","2024-05-10T15:20:47.016429Z","-3.534070253","101.5650635","4.749758365","M","22","96","84.24429321","Southern Sumatra","BMKG"
"148","bmg2024jerq","2024-05-10T15:16:53.981513Z","1.615131378","127.1211319","4.07693803","M","79","39","74.06377792","Halmahera","BMKG"
"149","bmg2024jenu","2024-05-10T13:19:50.634744Z","-9.878287315","107.8147049","5.03244458","M","26","163","169.6821899","South of Java","BMKG"
"150","bmg2024jecg","2024-05-10T07:29:44.87232Z","-8.426363945","110.9298019","2.466435346","M","66","16","238.6255798","Java","BMKG"
"151","bmg2024jebs","2024-05-10T07:14:04.366996Z","-9.786439896","119.5309753","3.085145171","M","13","34","177.1587753","Sumba Region","BMKG"
"152","bmg2024jdzd","2024-05-10T05:55:23.705394Z","0.993762255","121.8047791","2.953344655","M","23","24","174.0147095","Minahassa Peninsula, Sulawesi","BMKG"
"153","bmg2024jdys","2024-05-10T05:43:29.446764Z","-1.199603677","119.9397049","2.341201453","M","10","24","52.21516609","Sulawesi","BMKG"
"154","bmg2024jdyl","2024-05-10T05:35:17.547824Z","-2.296390057","120.6694794","2.747992475","M","10","23","68.35362244","Sulawesi","BMKG"
"155","bmg2024jdwo","2024-05-10T04:37:35.827607Z","-9.489341736","120.1446991","2.546790674","M","40","20","64.14356232","Sumba Region","BMKG"
"156","bmg2024jduf","2024-05-10T03:26:03.009196Z","-8.270030975","114.9621506","2.509047897","M","14","26","86.80524445","Bali Region","BMKG"
"157","bmg2024jcxz","2024-05-09T16:12:04.580125Z","0.329696596","122.2161942","3.139580472","M","154","50","74.41315079","Minahassa Peninsula, Sulawesi","BMKG"
"158","bmg2024jcvl","2024-05-09T14:55:12.641883Z","-1.215510488","120.1763","1.874013397","M","11","18","77.61293411","Sulawesi","BMKG"
"159","bmg2024jcvk","2024-05-09T14:54:35.206106Z","-0.273233563","100.3290787","2.177636607","M","11","18","100.1924686","Southern Sumatra","BMKG"
"160","bmg2024jcup","2024-05-09T14:30:32.159648Z","-4.724260807","103.680748","4.460654825","M","136","98","73.55104065","Southern Sumatra","BMKG"
"161","bmg2024jcsc","2024-05-09T13:14:45.757237Z","-3.254392862","131.0384827","4.048198677","M","22","36","46.41672516","West Papua Region","BMKG"
"162","bmg2024jcqb","2024-05-09T12:12:26.594784Z","-2.552579641","121.4119415","3.447893467","M","10","58","81.84409332","Sulawesi","BMKG"
"163","bmg2024jcgp","2024-05-09T07:25:36.155732Z","-3.213492393","131.0180054","3.582089274","M","20","30","45.7589035","West Papua Region","BMKG"
"164","bmg2024jcgf","2024-05-09T07:14:17.589727Z","-6.768795967","106.6436539","3.357935223","M","10","51","55.43482971","Java","BMKG"
"165","bmg2024jbxf","2024-05-09T02:41:35.774837Z","0.338443637","122.0377731","2.668072969","M","179","20","71.68730927","Minahassa Peninsula, Sulawesi","BMKG"
"166","bmg2024jbnp","2024-05-08T21:49:58.390208Z","-1.847928643","121.7318192","3.328253349","M","10","30","77.40231323","Sulawesi","BMKG"
"167","bmg2024jblu","2024-05-08T20:54:34.713702Z","-10.49849129","118.2629166","4.648720327","M","39","100","170.2509232","South of Sumbawa","BMKG"
"168","bmg2024jbhv","2024-05-08T18:55:05.903115Z","-9.256572723","124.9829559","3.325499804","M","14","17","212.2906952","Timor Region","BMKG"
"169","bmg2024jbhw","2024-05-08T18:55:00.617969Z","-4.255623817","136.1728058","3.593761626","M","10","17","177.8630753","West Papua Region","BMKG"
"170","bmg2024jbaw","2024-05-08T15:23:37.709509Z","-8.849575043","117.6752548","3.835581123","M","10","77","135.8259811","Sumbawa Region","BMKG"
"171","bmg2024jazj","2024-05-08T14:37:52.807737Z","-6.050556183","103.568367","4.616509666","M","11","70","187.2257004","Southwest of Sumatra","BMKG"
"172","bmg2024jayl","2024-05-08T14:10:26.319235Z","-8.052949905","107.2249527","3.295486342","M","14","37","230.0669174","Java","BMKG"
"173","bmg2024javk","2024-05-08T12:37:44.666911Z","-0.112777442","100.3308716","2.569243444","M","10","12","98.31505203","Southern Sumatra","BMKG"
"174","bmg2024japc","2024-05-08T09:27:02.243465Z","-3.134972572","134.2761536","3.923319337","M","12","22","106.2968903","West Papua Region","BMKG"
"175","bmg2024janq","2024-05-08T08:42:20.369989Z","-3.123781204","131.03125","3.764250561","M","15","26","134.8123703","West Papua Region","BMKG"
"176","bmg2024jakm","2024-05-08T07:07:09.813752Z","-1.020253897","128.7232819","3.874015482","M","12","29","75.18782043","Halmahera","BMKG"
"177","bmg2024jahv","2024-05-08T05:46:13.969789Z","-7.653472424","128.4442291","4.448791006","M","138","42","56.3812561","Banda Sea","BMKG"
"178","bmg2024jaha","2024-05-08T05:22:12.426306Z","-9.219223022","119.8152161","3.19388042","M","20","31","57.39144897","Sumba Region","BMKG"
"179","bmg2024jacw","2024-05-08T03:16:41.537473Z","1.507380962","123.0639801","4.313780329","M","2","64","93.61224747","Minahassa Peninsula, Sulawesi","BMKG"
"180","bmg2024izzv","2024-05-08T01:44:40.141981Z","-9.553975105","120.7865829","3.561801883","M","18","34","70.01511765","Sumba Region","BMKG"
"181","bmg2024izvr","2024-05-07T23:38:02.398009Z","1.718433738","126.4008102","4.146252269","M","13","49","92.76760864","Northern Molucca Sea","BMKG"
